TranscriptCluster	Duke	UW
2359453	5.368250639	5.454872282
2359470	7.914513997	5.579744345
3145953	12.1382486	12.72247314
3539201	4.601726226	3.602609301
2359483	7.697302957	7.54939194
2752725	9.167892276	9.518703638
2359492	8.563606233	6.722795238
3145980	8.165237402	10.10056291
2359504	5.261459356	5.861039746
2359521	8.128669741	7.860813854
3146012	4.115099432	3.836658032
3932524	4.83957292	5.076266912
3146103	9.190078984	8.753127588
2359646	6.480118066	5.831070734
2359664	7.715579394	5.686032626
2359691	5.577760383	5.091403649
2359722	8.258397611	5.382690306
2359736	8.45142853	10.15126014
2359764	8.391077074	8.341761939
3539499	4.917224073	4.141552684
2359780	5.823562771	4.669206335
2359817	7.934641812	8.948812043
2359885	5.883944556	6.513413366
3146433	11.83140721	11.04471969
3932917	4.214558093	3.695456413
3146455	4.744115338	3.575636255
2359993	6.641812969	7.555445517
3539724	4.996079112	4.467020746
2360027	12.02185446	12.55578421
3933039	4.611421761	5.416526764
3146565	8.268271799	8.894999604
2360083	10.81189845	10.81318529
2360158	9.29520816	10.92768909
3933131	7.665568648	4.224194407
3146661	8.583912972	9.215782123
2360186	6.421557841	8.614185913
2360206	7.463698058	9.586162369
3933205	5.919859068	5.689016745
3146723	5.444533729	4.041643675
2360257	6.442168876	6.601122513
3933243	7.033100837	8.103480155
3540007	9.440620567	10.82363261
3146781	12.06417858	13.13947461
2360310	7.184755113	4.206218625
3540068	4.860792752	5.658417159
2360346	6.864005332	6.024033718
3933331	6.341057532	8.722825743
3540091	6.979624115	8.694578439
3540136	5.938663944	5.088025665
3146898	11.49815611	12.25098229
3540155	3.938538453	3.982674208
3933399	8.94648232	9.610001757
2360452	11.62741305	11.46942814
2753707	4.80580577	5.109595974
2360468	7.55012918	10.20571384
3933451	8.040925298	6.238139106
2753732	8.58566677	9.177104719
2360498	7.84317989	6.479468791
2360506	6.550797183	8.425992127
3147020	9.027557027	9.00476354
2360541	6.844433674	6.680383436
3933536	6.762534191	7.143583893
2360576	6.772565642	8.508090547
3933550	6.338430655	6.775212998
3933559	7.240392092	5.703219775
3933566	6.056165138	5.373942798
3540353	8.518285305	9.845793194
2360633	5.698468539	7.486440866
2753880	8.152243006	9.586925459
2360647	5.557877974	7.683951383
3933625	5.141506363	3.288536242
3540398	7.554260755	8.273590484
2360677	6.79163177	7.854556752
3147173	7.671733885	7.644940208
2360700	8.702011607	10.57000746
2753952	9.415435982	8.463678307
2360728	6.148422178	6.821276525
2753994	8.461724992	10.24137982
2360773	8.066722922	9.546550461
3147286	7.847065178	9.28365405
3540552	8.220524646	8.967706597
3147321	9.465672511	10.82081718
2360850	11.5856433	11.58014234
3933817	6.227703537	9.53911615
2360887	6.637838076	8.465932304
2360939	8.259061765	5.79995073
3933923	8.710344112	11.1970979
2360989	7.997274058	9.517288162
3147508	7.868918217	8.729287645
3933999	10.29062944	10.34844342
2361036	10.69777339	11.35965623
3147591	9.4970215	10.57784106
3540839	4.776859362	4.064923079
2754371	7.123919631	9.26455676
3540862	7.592912947	8.139182958
3934111	6.409478768	6.960735647
2361154	5.088673772	4.962140248
2361196	7.237590008	5.757477574
3934162	5.736073778	5.167693779
3147699	4.95416955	5.208583587
3934187	5.771758835	6.158792107
2361241	10.38061799	8.603402568
3147726	8.757979968	10.53816953
2361257	5.87401677	5.018080714
2361279	8.259946827	9.655341094
3934245	12.10850322	12.07026073
2754538	9.443746497	9.657606067
3934263	3.696742518	6.33934705
3541029	2.402795838	3.754527674
2754582	7.669827568	9.208066868
2361342	6.225814278	6.59860093
