gene_id	GM12878_rep1	GM12878_rep2
ENSG00000223972.4	0.0318738	0.0126291
ENSG00000243485.2	0.0508844	0.0661049
ENSG00000227232.4	8.66644	9.17034
ENSG00000237613.2	0.00336611	0.00421996
ENSG00000268020.2	0	0
ENSG00000240361.1	0	0
ENSG00000186092.4	0	0
ENSG00000238009.2	0.193474	0.22378
ENSG00000239945.1	0.107635	0.132335
ENSG00000233750.3	0.131124	0.162526
ENSG00000237683.5	6.13278	5.40715
ENSG00000268903.1	1.88E-23	2.07E-08
ENSG00000269981.1	0.0381931	1.55E-05
ENSG00000239906.1	4.34228	5.86233
ENSG00000241860.2	2.94851	2.47116
ENSG00000222623.1	0	0
ENSG00000241599.1	3.21E-07	8.70E-08
ENSG00000228463.4	1.12926	0.500869
ENSG00000241670.2	3.54367	2.26246
ENSG00000237094.7	22.0808	17.9398
ENSG00000250575.1	1.01748	1.0079
ENSG00000224813.2	0	3.27E-234
ENSG00000235249.1	0	0
ENSG00000236743.1	0.0235398	0.00803794
ENSG00000233653.3	0.032782	0.042296
ENSG00000269732.1	6.59E-182	5.22E-212
ENSG00000256186.1	0	0
ENSG00000236601.1	0.109275	0.0381748
ENSG00000236679.2	1.35458	0.51282
ENSG00000231709.1	0.0209518	0.0134705
ENSG00000239664.2	0.00523361	0.0122254
ENSG00000235146.2	0.0499975	0.0235484
ENSG00000230021.3	3.50504	8.431
ENSG00000223659.1	0	2.26E-110
ENSG00000185097.2	1.44E-33	3.10E-132
ENSG00000225972.1	587.712	326.962
ENSG00000225630.1	525.556	826.446
ENSG00000237973.1	1564.31	1512.92
ENSG00000229344.1	98.9363	205.713
ENSG00000240409.1	1.08E-06	2.91E-05
ENSG00000248527.1	772.244	1013.03
ENSG00000198744.5	527.069	1398.3
ENSG00000268663.1	4.81E-31	1.05E-99
ENSG00000229376.3	0.0398199	0.0285168
ENSG00000224956.5	4.21401	4.16989
ENSG00000235373.1	0.839217	0.863247
ENSG00000223181.1	0	0
ENSG00000240618.1	3.83185	2.06915
ENSG00000228327.2	2.35183	3.14606
ENSG00000229905.1	0.0167599	0.0732784
ENSG00000237491.4	2.14411	1.60561
ENSG00000177757.1	0.259242	0.254992
ENSG00000230092.3	0.550453	0.997329
ENSG00000269831.1	4.27E-117	3.60E-37
ENSG00000240453.1	0.605737	0.455112
ENSG00000225880.4	1.65316	1.56676
ENSG00000228794.4	7.94082	6.01721
ENSG00000230368.2	0.111259	0.533583
ENSG00000234711.1	0	0
ENSG00000269308.1	0	0.00732846
ENSG00000272438.1	0.124618	0.0564254
ENSG00000230699.2	0.028825	3.22E-07
ENSG00000241180.1	1.67E-44	7.09E-06
ENSG00000223764.2	0.0317125	0.0207764
ENSG00000187634.6	0.0530012	0.0432474
ENSG00000268179.1	1.80E-25	0
ENSG00000188976.6	21.1	58.4657
ENSG00000187961.9	13.1969	9.90151
ENSG00000187583.6	0.409603	0.219677
ENSG00000187642.5	0.189794	0.125556
ENSG00000272512.1	0.00947875	0.0108321
ENSG00000188290.6	1.63647	0.813076
ENSG00000231702.2	0	0
ENSG00000224969.1	0.0777355	0.111805
ENSG00000187608.5	235.001	279.81
ENSG00000188157.9	23.8017	22.5824
ENSG00000242590.1	3.46068	1.40171
ENSG00000217801.5	23.6375	16.2129
ENSG00000273443.1	0.393411	0.132308
ENSG00000237330.2	0.147223	0.0666142
ENSG00000131591.13	6.06547	6.12968
ENSG00000223823.1	0.00522522	0.00718492
ENSG00000207730.1	0	0
ENSG00000207607.1	0	0
ENSG00000198976.1	0	0
ENSG00000272141.1	0.0454633	0.0897307
ENSG00000205231.1	0	1.32E-15
ENSG00000162571.9	0.0796845	0.0102396
ENSG00000186891.9	4.24521	3.61739
ENSG00000186827.6	2.51084	2.71869
ENSG00000078808.12	43.9444	48.4862
ENSG00000176022.3	3.55007	4.32416
ENSG00000184163.3	2.91972	2.61262
ENSG00000260179.1	0.223836	0.517205
ENSG00000160087.16	27.5103	32.0038
ENSG00000230415.1	1.40144	1.48246
ENSG00000162572.15	1.33473	1.92454
ENSG00000131584.14	16.4971	16.3006
ENSG00000127054.14	46.4422	59.4832
ENSG00000240731.1	1.70454	1.50435
ENSG00000169972.7	7.44312	6.38362
ENSG00000224051.2	7.19074	7.57969
ENSG00000169962.4	0.409639	0.358635
ENSG00000107404.13	10.3945	9.91669
ENSG00000162576.12	1.33846	1.86115
ENSG00000175756.9	50.6337	55.6224
ENSG00000223663.2	0.538093	0.447945
ENSG00000221978.7	43.0481	46.6544
ENSG00000224870.3	10.3695	13.657
ENSG00000242485.1	95.7148	115.099
ENSG00000264293.1	0.930969	1.19779
ENSG00000272455.1	2.84578	1.87517
ENSG00000235098.4	0.944747	1.68422
ENSG00000225905.1	0.0333414	0.0391699
ENSG00000205116.3	0.245581	0.233005
ENSG00000225285.1	0.464098	0.67661
ENSG00000179403.10	4.85661	4.39658
ENSG00000215915.5	1.85573	2.03476
ENSG00000160072.15	9.16765	14.2989
ENSG00000197785.9	12.9185	18.7838
ENSG00000205090.4	0.0704703	0.0575567
ENSG00000160075.10	51.4992	52.7284
